Tempo,RSSI,SNR,num_pacote
56881,-39,1,21
59033,-39,1,22
61591,-43,1,23
64558,-39,1,24
67137,-40,1,25
69475,-41,1,26
72036,-41,1,27
74698,-43,1,28
76949,-43,1,29
79408,-41,1,30
81557,-45,1,31
83915,-42,1,32
86064,-41,1,33
90367,-40,1,34
92513,-47,1,35
105109,-45,1,36
107261,-41,1,37
111560,-43,1,38
113714,-36,1,39
118020,-39,1,40
120183,-41,1,41
122724,-46,1,42
125079,-50,1,43
129381,-46,1,44
131528,-44,1,45
133478,-54,1,46
135829,-50,1,47
138084,-54,1,48
140457,-52,1,49
149656,-44,1,50
151906,-46,1,51
154263,-44,1,52
158869,-38,1,53
160728,-42,1,54
178345,-38,1,55
180685,-42,1,56
182540,-42,1,57
185698,-43,1,58
188156,-41,1,59
190614,-41,1,60
192970,-39,1,61
195427,-41,1,62
198297,-41,1,63
200651,-38,1,64
202903,-42,1,65
205260,-40,1,66
209664,-44,1,67
212327,-47,1,68
214577,-44,1,69
217033,-45,1,70
219492,-44,1,71
221253,-41,1,72
223688,-40,1,73
225839,-39,1,74
227988,-40,1,75
230140,-41,1,76
232396,-45,1,77
235055,-41,1,78
237923,-42,1,79
240686,-41,1,80
247345,-42,1,81
252258,-48,1,82
